name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
New Covenant Income Fund (NCICX),20 years,$420.92,07/01/1999,112%,"$2,500",N,0.96%,0.96%
Nuveen New Jersey Municipal Bond Fund Class C (NJCCX),20 years,$447.56,02/28/1992,14%,"$3,000",N,1.61%,1.61%
Wilshire Income Opportunities Fund Investment Class (WIORX),20 years,$301.68,03/30/2016,104%,"$2,500",N,1.16%,1.3%
Invesco Rochester® Limited Term New York Municipal Fund Class A (LTNYX),20 years,"$1,913.37",09/18/1991,1%,"$1,000",Y,0.87%,0.87%
Lord Abbett Short Duration High Yield Municipal Bond Fund Class A (SDHAX),20 years,"$1,205.31",06/15/2015,61%,"$2,500",Y,0.7%,0.78%
SEI Tax Exempt Trust Pennsylvania Municipal Bond Fund Class F (SEPAX),20 years,$181.39,08/26/1998,9%,"$100,000",N,0.63%,0.83%
American Funds Mortgage Fund® Class A (MFAAX),20 years,"$9,029.45",11/01/2010,"1,015%",$250,Y,0.63%,0.63%
BBH Intermediate Municipal Bond Fund Class N (BBINX),20 years,$869.64,04/01/2014,32%,"$5,000",N,0.65%,0.71%
Franklin Michigan Tax-Free Income Fund Class C (FRMTX),20 years,$966.68,04/03/1985,10.86%,"$1,000",N,1.22%,1.22%
MainStay Short Term Bond Fund Class A (MIXAX),20 years,$109.07,01/02/1991,299%,"$2,500",Y,0.75%,0.75%
Nuveen Colorado Municipal Bond Fund Class C (FAFKX),20 years,$584.24,05/04/1987,4%,"$3,000",N,1.57%,1.57%
Amana Participation Fund Investor Shares (AMAPX),20 years,$215.61,09/28/2015,19%,"$5,000",N,0.82%,0.82%
Columbia Quality Income Fund Class C (AUGCX),20 years,"$2,253.74",02/14/2002,319%,"$2,500",N,1.66%,1.66%
Eaton Vance North Carolina Municipal Income Fund Class I (EINCX),20 years,$168.06,12/07/1993,24%,"$2,500",N,0.47%,0.47%
MFS South Carolina Municipal Bond Fund Class A (MFSCX),20 years,$312.42,10/31/1984,23%,"$1,000",Y,0.84%,0.86%
MFS West Virginia Municipal Bond Fund Class A (MFWVX),20 years,$117.51,10/31/1984,23%,"$1,000",Y,0.87%,0.97%
PIMCO Income Fund Class C (PONCX),20 years,"$144,687.18",03/30/2007,396%,"$1,000",N,1.77%,1.77%
Principal Core Fixed Income Fund Class C (CNMCX),20 years,"$10,420.86",12/15/1975,21%,"$2,500",N,1.6%,1.6%
Transamerica Intermediate Muni Class C (TCMUX),20 years,"$2,730.89",10/31/2012,20%,"$2,500",N,1.26%,1.51%
Western Asset Intermediate Maturity New York Municipals Fund Class A (IMNYX),20 years,$166.41,12/31/1991,28%,"$1,000",Y,0.75%,0.84%
BNY Mellon Connecticut Fund Class A (PSCTX),20 years,$195.72,05/28/1987,6.37%,"$2,500",Y,0.87%,0.97%
Federated Hermes Ohio Municipal Income Fund Institutional Shares (OMIIX),20 years,$153.81,10/12/1990,5%,"$1,000,000",N,0.52%,0.76%
Franklin Oregon Tax Free Income Fund Class A (FOFQX),20 years,"$1,316.43",09/01/1987,18.23%,"$1,000",Y,0.8%,0.8%
Northern Intermediate Tax-Exempt Fund (NOITX),20 years,"$3,006.19",03/31/1994,82.72%,"$2,500",N,0.46%,0.49%
Robinson Opportunistic Income Fund Class C Shares (RBNCX),20 years,$18.66,12/31/2015,124%,"$2,500",N,4.74%,5.42%
Franklin Massachusetts Tax-Free Income Fund Class A (FMAQX),20 years,$441.77,04/03/1985,18.21%,"$1,000",Y,0.86%,0.86%
Franklin Missouri Tax Free Income Fund Class A (FMQOX),20 years,"$1,015.62",09/01/1987,18.2%,"$1,000",Y,0.81%,0.81%
Nuveen California Municipal Bond Fund Class C (NAKFX),20 years,"$2,523.54",07/01/1986,25%,"$3,000",N,1.53%,1.53%
Eaton Vance Maryland Municipal Income Fund Class A (ETMDX),20 years,$99.94,12/10/1993,23%,"$2,500",Y,0.69%,0.69%
Eaton Vance Virginia Municipal Income Fund Class A (ETVAX),20 years,$74.33,12/17/1993,33%,"$2,500",Y,0.76%,0.76%
MFS Government Securities Fund Class A (MFGSX),20 years,"$2,658.84",07/25/1984,307%,"$1,000",Y,0.8%,0.8%
Neuberger Berman Floating Rate Income Fund Institutional Class (NFIIX),20 years,$356.87,12/30/2009,81%,"$1,000,000",N,0.61%,0.84%
Western Asset Massachusetts Municipals Fund Class A (SLMMX),20 years,$104.28,12/21/1987,15%,"$1,000",Y,0.75%,0.93%
Delaware Tax-Free Colorado Fund Class C (DVCTX),20 years,$251.11,04/23/1987,18%,"$2,500",N,1.57%,1.71%
Putnam Minnesota Tax Exempt Income Fund Class A (PXMNX),20 years,$160.59,10/23/1989,12%,"$2,500",Y,0.86%,0.86%
American Century Global Bond Fund I Class (AGBHX),20 years,"$2,494.99",01/31/2012,106%,"$5,000,000",N,0.71%,0.75%
BNY Mellon Global Dynamic Bond Income Fund - Class A (DGDAX),20 years,$145.36,03/25/2011,94.27%,"$2,500",Y,1.08%,4.89%
Federated Hermes Ohio Municipal Income Fund Class A Shares (OMIAX),20 years,$153.81,10/12/1990,5%,"$1,500",Y,0.77%,0.96%
Metropolitan West Strategic Income Fund Class M (MWSTX),20 years,$30.03,06/30/2003,24%,"$5,000",N,1.04%,2.73%
PIMCO Emerging Markets Local Currency and Bond Fund Class A (PELAX),20 years,"$1,956.17",12/29/2006,123%,"$1,000",Y,1.65%,1.65%
Segall Bryant & Hamill International Small Cap Fund Retail Class (SBHSX),20 years,$178.30,05/31/2011,106%,"$2,500",N,1.18%,1.36%
AB Municipal Income Fund II Pennsylvania Portfolio Class Class C (APACX),20 years,$67.53,06/25/1993,12%,"$2,500",N,1.6%,1.94%
Ashmore Emerging Markets Corporate Income Fund Class A (ECDAX),20 years,$294.28,12/08/2010,117%,"$2,500",Y,1.42%,1.53%
BNY Mellon Pennsylvania Intermediate Municipal Bond Fund Class Investor (MIPAX),20 years,$195.58,10/02/2000,47.09%,"$10,000",N,0.97%,0.97%
Delaware Minnesota High-Yield Municipal Bond Fund Class C (DVMMX),20 years,$230.88,06/07/1996,18%,"$2,500",N,1.64%,1.72%
DWS New York Tax-Free Income Fund - Class C (KNTCX),20 years,$269.02,12/31/1985,51%,"$2,500",N,1.53%,1.72%
Eaton Vance Connecticut Municipal Income Fund Class I (EICTX),20 years,$82.26,04/19/1994,19%,"$2,500",N,0.52%,0.52%
Eaton Vance Georgia Municipal Income Fund Class A (ETGAX),20 years,$132.79,12/07/1993,19%,"$2,500",Y,0.67%,0.67%
Eaton Vance Pennsylvania Municipal Income Fund Class A (ETPAX),20 years,$183.57,06/01/1994,34%,"$2,500",Y,0.76%,0.76%
Franklin K2 Alternative Strategies Fund Class C (FASCX),20 years,"$1,391.73",10/11/2013,236.64%,"$1,000",N,3.41%,3.62%
Hartford Emerging Markets Local Debt Fund Class A (HLDAX),20 years,$58.62,05/31/2011,99%,"$5,000",Y,1.18%,1.42%
Leader Short Term High Yield Bond Fund Institutional Class (LCCIX),20 years,$39.66,07/14/2005,496.37%,"$100,000",N,1.16%,1.16%
Putnam RetirementReady 2025 Fund Class A (PRROX),20 years,$203.49,11/01/2004,74%,"$2,500",Y,0.9%,1.46%
Thornburg Limited Term Income Fund Class A (THIFX),20 years,"$10,330.76",10/01/1992,53.84%,"$5,000",Y,0.77%,0.77%
Wells Fargo Wisconsin Tax-Free Fund Institutional Class (WWTIX),20 years,$173.73,12/26/2002,10%,"$1,000,000",N,0.52%,0.62%
BNY Mellon Tax Sensitive Total Return Bond Fund Class A (DSDAX),20 years,$58.98,11/02/1992,16.34%,"$2,500",Y,0.75%,0.94%
DoubleLine Flexible Income Fund Class I (DFLEX),20 years,"$1,291.55",04/07/2014,46%,"$100,000",N,0.77%,0.77%
Eaton Vance Massachusetts Municipal Income Fund Class I (EIMAX),20 years,$203.06,06/17/1993,15%,"$2,500",N,0.51%,0.51%
Franklin New Jersey Tax Free Income Fund Class A (FNJQX),20 years,$835.79,05/12/1988,15.41%,"$1,000",Y,0.82%,0.82%
MainStay MacKay Strategic Bond Fund Class A (MASAX),20 years,$709.63,02/28/1997,56%,"$2,500",Y,1.19%,1.19%
Nuveen Short Duration High Yield Municipal Bond Fund Class C (NVCCX),20 years,"$6,498.52",02/01/2013,30%,"$3,000",N,1.61%,1.61%
Calvert Responsible Municipal Income Fund Class A (CTTLX),20 years,$417.59,08/23/1983,14%,"$2,500",Y,0.75%,0.88%
Columbia Intermediate Municipal Bond Fund Class A (LITAX),20 years,"$1,076.98",06/14/1993,9%,"$2,500",Y,0.61%,0.82%
Columbia Tax-Exempt Fund Class C (COLCX),20 years,"$3,202.58",11/21/1978,13%,"$2,500",N,1.33%,1.48%
Delaware Tax-Free Idaho Fund Class C (DVICX),20 years,$135.17,01/11/1995,22%,"$2,500",N,1.61%,1.77%
Dunham Long/Short Credit Fund Class A (DAAIX),20 years,$228.88,12/10/2004,519%,"$5,000",Y,1.7%,1.7%
Templeton Foreign Fund Class C (TEFTX),20 years,"$3,343.18",10/05/1982,37.85%,"$1,000",N,1.85%,1.94%
USAA Virginia Bond Fund Class A (UVABX),20 years,$741.49,10/10/1990,24%,"$2,500",Y,0.76%,0.81%
Voya Global Bond Fund Class A (INGBX),20 years,$403.84,06/30/2006,208%,"$2,500",Y,0.9%,1.02%
BNY Mellon New York Intermediate Tax-Exempt Bond Fund Investor Shares (MNYIX),20 years,$161.92,08/10/1992,64.18%,"$10,000",N,0.84%,0.98%
Delaware Floating Rate Fund Class A (DDFAX),20 years,$214.37,02/26/2010,124%,"$2,500",Y,0.94%,1.05%
Eaton Vance Arizona Municipal Income Fund Class A (ETAZX),20 years,$76.24,12/13/1993,26%,"$2,500",Y,0.68%,0.68%
Franklin K2 Long Short Credit Fund Class A (FKLSX),20 years,$105.25,09/28/2015,194.81%,"$1,000",Y,2.33%,2.92%
JPMorgan Intermediate Tax Free Bond Fund Class A (JITAX),20 years,"$4,589.72",09/10/2001,20%,"$1,000",Y,0.65%,0.91%
PIMCO Low Duration Income Fund I-3 (PFNIX),20 years,"$10,742.91",07/30/2004,410%,$0,N,0.69%,0.74%
Northern Arizona Tax-Exempt Fund (NOAZX),20 years,$167.42,10/01/1999,17.2%,"$2,500",N,0.47%,0.59%
Northern California Intermediate Tax-Exempt Fund (NCITX),20 years,$546.85,10/01/1999,16.87%,"$2,500",N,0.46%,0.51%
AlphaCentric Income Opportunities Fund Class I (IOFIX),20 years,"$4,339.92",05/28/2015,54%,"$2,500",N,1.49%,1.71%
BMO Intermediate Tax Free Fund Class Y (MITFX),20 years,"$1,574.34",02/01/1994,64%,"$2,500",N,0.54%,0.56%
Eaton Vance Minnesota Municipal Income Fund Class A (ETMNX),20 years,$199.20,12/09/1993,9%,"$2,500",Y,0.66%,0.66%
"BNY Mellon California AMT-Free Municipal Bond Fund, Inc. - Class A (DCAAX)",20 years,$817.05,07/26/1983,9.84%,"$2,500",Y,0.96%,0.96%
Franklin Georgia Tax Free Income Fund Class A (FGAQX),20 years,$479.72,09/01/1987,16.89%,"$1,000",Y,0.86%,0.86%
The Arbitrage Fund Class Institutional (ARBNX),20 years,"$1,655.84",09/18/2000,300%,"$100,000",N,1.49%,1.49%
Wells Fargo Intermediate Tax/AMT-Free Fund - Class Admin (WFITX),20 years,"$1,958.96",07/31/2007,12%,$0,N,0.6%,0.73%
Archer Income Fund (ARINX),20 years,$10.99,03/11/2011,20.48%,"$2,500",N,0.98%,1.73%
City National Rochdale Fixed Income Opportunities Fund Class N (RIMOX),20 years,"$4,112.87",07/01/2009,143%,"$2,500",N,1.15%,1.15%
John Hancock Government Income Fund Class I (JGIFX),20 years,$273.50,09/30/1994,169%,"$250,000",N,0.75%,0.76%
North Square Trilogy Alternative Return Fund Class A Shares (STTGX),20 years,$44.80,04/02/2012,11%,"$2,500",Y,1.69%,2.03%
Nuveen Arizona Municipal Bond Fund Class C (FZCCX),20 years,$218.67,10/29/1986,4%,"$3,000",N,1.62%,1.62%
AB Municipal Income Fund National Portfolio Class C (ALNCX),20 years,"$1,899.79",12/29/1986,24%,"$2,500",N,1.5%,1.53%
American Century Global Bond Fund Investor Class (AGBVX),20 years,"$2,494.99",01/31/2012,106%,$250,N,0.81%,0.85%
American Century Short Dur Strat Inc I (ASDHX),20 years,$585.76,07/28/2014,193%,"$5,000,000",N,0.43%,0.43%
Eaton Vance South Carolina Municipal Income Fund Class I (EISCX),20 years,$173.60,02/14/1994,20%,"$2,500",N,0.49%,0.49%
MFS New York Municipal Bond Fund Class C (MCNYX),20 years,$290.37,06/06/1988,45%,"$1,000",N,1.58%,1.63%
Putnam New Jersey Tax Exempt Income Fund Class C (PNJCX),20 years,$163.90,02/20/1990,13%,"$2,500",N,1.57%,1.57%
Touchstone Impact Bond Fund Class C (TCPCX),20 years,$439.15,11/15/1991,21%,"$2,500",N,1.52%,2.47%
Barings Global Floating Rate Fund Class A (BXFAX),20 years,$428.69,09/16/2013,42.78%,"$2,500",Y,1%,1.25%
BrandywineGLOBAL - Global Unconstrained Bond Fund Class I (LROIX),20 years,$748.39,02/28/2011,107%,"$1,000,000",N,0.86%,0.99%
Eagle MLP Strategy Fund Class I Shares (EGLIX),20 years,$85.30,09/14/2012,82%,"$100,000",N,1.43%,1.86%
Morgan Stanley U.S. Government Securities Trust Class A (USGAX),20 years,$321.81,07/28/1997,189%,"$2,500",Y,0.85%,0.97%
Sterling Capital Quality Income Fund Institutional Shares (SCSPX),20 years,$62.40,06/30/2011,35.96%,"$2,500",N,0.59%,0.63%
Deer Park Total Return Credit Fund Class I (DPFNX),20 years,$872.73,10/16/2015,11%,"$100,000",N,1.93%,2.16%
Eaton Vance North Carolina Municipal Income Fund Class A (ETNCX),20 years,$168.06,12/07/1993,24%,"$2,500",Y,0.67%,0.67%
Franklin Alabama Tax Free Income Fund Class C (FALEX),20 years,$252.28,09/01/1987,24.03%,"$1,000",N,1.31%,1.31%
Franklin New York Tax Free Income Fund Class C (FNYIX),20 years,"$3,618.19",09/13/1982,12.15%,"$1,000",N,1.18%,1.18%
Gotham Total Return Fund Institutional Class (GTRFX),20 years,$28.15,03/31/2015,55%,"$250,000",N,1.33%,1.92%
PGIM California Muni Income Fund-Class Z (PCIZX),20 years,$223.86,12/03/1990,27%,"$2,500",N,0.39%,0.57%
Thrivent Opportunity Income Plus Fund Class S (IIINX),20 years,$846.31,07/16/1987,186%,"$2,500",N,0.64%,0.64%
American Funds Intermediate Bond Fund of America® Class F-1 (IBFFX),20 years,"$31,718.90",02/19/1988,434%,$250,N,0.6%,0.6%
BlackRock New Jersey Municipal Bond Fund Investor C Shares (MFNJX),20 years,$404.97,08/31/1990,16%,"$1,000",N,1.57%,1.69%
Brown Advisory Intermediate Income Fund Investor Shares (BIAIX),20 years,$165.29,05/31/1991,50%,"$2,500",N,0.56%,0.6%
Eaton Vance California Municipal Opportunities Fund Class C (ECCAX),20 years,$749.38,05/27/1994,184%,"$2,500",N,1.47%,1.47%
First Eagle High Income Fund Class C (FEHCX),20 years,$232.08,11/19/2007,55.38%,"$2,500",N,1.85%,1.85%
JPMorgan Sustainable Municipal Income Fund Class A (OTBAX),20 years,$326.84,02/23/1993,7%,"$1,000",Y,0.7%,0.97%
JPMorgan Tax Aware Real Return Fund Class C (TXRCX),20 years,$565.26,08/31/2005,12%,"$1,000",N,1.25%,1.51%
JPMorgan Unconstrained Debt Fund Class I Shares (JSISX),20 years,"$1,148.33",12/01/2010,333%,"$1,000,000",N,0.65%,0.85%
Matthews Asia Credit Opportunities Fund Investor Class Shares (MCRDX),20 years,$101.44,04/29/2016,48.46%,"$2,500",N,1.14%,1.14%
MFS Managed Wealth Fund Class I (MNWIX),20 years,$124.06,06/27/2014,50%,$0,N,1.15%,1.15%
Neuberger Berman Municipal Impact Fund Class A Shares (NIMAX),20 years,$83.80,03/11/2013,42%,"$2,500",Y,0.8%,1.12%
Neuberger Berman Municipal Intermediate Bond Fund Class A (NMNAX),20 years,$241.10,07/09/1987,93%,"$2,500",Y,0.67%,0.84%
Nuveen Oregon Intermediate Municipal Bond Fund Class A (FOTAX),20 years,$299.88,08/08/1997,4%,"$3,000",Y,0.8%,0.8%
PGIM Short-Term Corporate Bond Fund- Class Z (PIFZX),20 years,"$13,945.99",09/01/1989,36%,"$2,500",N,0.47%,0.5%
SEI Institutional Managed Trust Multi-Asset Inflation Managed Fund Class F (SIFAX),20 years,$854.46,04/09/2012,63%,"$100,000",N,1.38%,1.62%
The Merger Fund® Class A (MERFX),20 years,"$4,273.94",01/31/1989,188%,"$2,500",Y,1.53%,1.63%
American Funds Intermediate Bond Fund of America® Class A (AIBAX),20 years,"$31,718.90",02/19/1988,434%,$250,Y,0.61%,0.61%
American Funds Tax-Exempt Bond Fund® Class C (TEBCX),20 years,"$27,723.18",10/03/1979,21%,$250,N,1.25%,1.25%
BlackRock Strategic Income Opportunities Portfolio Investor C Shares (BSICX),20 years,"$44,298.66",02/05/2008,1.52%,"$2,500",N,1.77%,1.78%
City National Rochdale Intermediate Fixed Income Fund Class N (RIMCX),20 years,$95.68,12/31/1999,49%,"$2,500",N,1.19%,1.19%
Cohen & Steers Low Duration Pref & Inc C (LPXCX),20 years,"$2,935.63",11/30/2015,44%,"$2,500",N,1.6%,1.75%
Conductor Global Equity Value Fund Class I (RAILX),20 years,$65.73,12/27/2013,91%,"$100,000",N,2%,2.15%
Loomis Sayles Intermediate Municipal Bond Fund Class Y (MIMYX),20 years,$40.23,12/31/2012,41%,"$100,000",N,0.46%,1.17%
PIMCO National Intermediate Municipal Bond Fund Class A (PMNTX),20 years,$194.96,05/31/2012,18%,"$1,000",Y,0.8%,0.8%
Wells Fargo Minnesota Tax-Free Fund Institutional Class (WMTIX),20 years,$186.97,01/12/1988,9%,"$1,000,000",N,0.52%,0.6%
Western Asset Mortgage Total Return Fund Class I (SGSYX),20 years,$711.71,11/06/1992,108%,"$1,000,000",N,0.66%,0.66%
American Century California Intermediate-Term Tax-Free Bond Fund Investor Class (BCITX),20 years,"$2,122.99",11/09/1983,30%,"$2,500",N,0.47%,0.47%
American Century Short Duration Inflation Protection Bond Fund C Class (APOCX),20 years,"$2,966.04",05/31/2005,29%,$250,N,1.57%,1.57%
BlackRock Global Long/Short Credit Fund Institutional Shares (BGCIX),20 years,"$1,667.67",09/30/2011,156%,"$2,000,000",N,1.86%,1.86%
BrandywineGLOBAL - Alternative Credit Fund Class I (LMANX),20 years,$214.30,12/02/2013,73%,$0,N,1.35%,1.35%
Dupree Mutual Fund Mississippi Tax-Free Income Fund (DUMSX),20 years,$11.18,12/31/1999,8.85%,"$2,500",N,0.99%,0.99%
Fidelity® Mortgage Securities Fund (FMSFX),20 years,"$1,090.40",12/31/1984,"1,032%",$0,N,0.45%,0.45%
John Hancock ESG Core Bond Fund Class I (JBOIX),20 years,$63.97,12/14/2016,50%,"$250,000",N,0.62%,0.87%
Metropolitan West Unconstrained Bond Fund Class I (MWCIX),20 years,"$4,164.06",09/30/2011,165%,"$3,000,000",N,0.75%,0.75%
Catalyst/CIFC Floating Rate Income Fund Class A (CFRAX),20 years,$184.37,12/31/2012,180%,"$2,500",Y,1.16%,1.6%
American Century Short Duration Strategic Income Fund Investor Class (ASDVX),20 years,$585.76,07/28/2014,193%,$250,N,0.53%,0.53%
American Funds Capital World Bond Fund® Class C (CWBCX),20 years,"$15,815.04",08/04/1987,143%,$250,N,1.68%,1.68%
Federated Hermes Ohio Municipal Income Fund Class F Shares (OMIFX),20 years,$153.81,10/12/1990,5%,"$1,500",N,0.92%,1.36%
Nuveen New York Municipal Bond Fund Class C (NAJPX),20 years,"$1,309.96",12/22/1986,31%,"$3,000",N,1.56%,1.56%
DWS ESG Global Bond Fund - Class A (SZGAX),20 years,$64.66,03/01/1991,104%,"$2,500",Y,1.03%,1.2%
DWS Managed Municipal Bond Fund - Class C (SMLCX),20 years,"$3,595.53",10/14/1976,29%,"$2,500",N,1.53%,1.55%
USAA Government Securities Fund (USGNX),20 years,$914.55,02/01/1991,15%,"$3,000",N,0.41%,0.41%
Wells Fargo Intermediate Tax/AMT-Free Fund - Class A (WFTAX),20 years,"$1,958.96",07/31/2007,12%,"$1,000",Y,0.7%,0.79%
AB Municipal Income Fund II Massachusetts Portfolio Class C (AMACX),20 years,$221.11,03/29/1994,4%,"$2,500",N,1.52%,1.65%
Franklin Louisiana Tax Free Income Fund Class C (FLAIX),20 years,$388.17,09/01/1987,22.66%,"$1,000",N,1.27%,1.27%
Franklin Strategic Income Fund Class A (FRSTX),20 years,"$3,842.47",05/24/1994,111.72%,"$1,000",Y,0.87%,0.89%
Hartford Schroders Tax-Aware Bond Fund Class C (HFKCX),20 years,$455.73,10/03/2011,186%,"$2,500",N,1.6%,1.62%
Nuveen Georgia Municipal Bond Fund Class C (FGCCX),20 years,$226.43,03/27/1986,2%,"$3,000",N,1.62%,1.62%
PIMCO International Bond Fund (Unhedged) Class I-3 (PFUNX),20 years,"$1,464.58",04/30/2004,525%,$0,N,0.67%,0.72%
Putnam New York Tax Exempt Income Fund Class C (PNNCX),20 years,"$1,026.76",09/02/1983,29%,"$2,500",N,1.53%,1.53%
U.S. Global Investors China Region Fund Investor Class (USCOX),20 years,$10.22,02/10/1994,243%,"$5,000",N,3.56%,3.56%
Wells Fargo Minnesota Tax-Free Fund - Class Admin (NWMIX),20 years,$186.97,01/12/1988,9%,$0,N,0.6%,0.87%
Invesco Short Duration High Yield Municipal Fund Class A (ISHAX),20 years,"$1,444.12",09/30/2015,49%,"$1,000",Y,0.9%,0.9%
Nuveen Kentucky Municipal Bond Fund Class C (FKCCX),20 years,$387.23,05/04/1987,5%,"$3,000",N,1.63%,1.63%
Nuveen Massachusetts Municipal Bond Fund Class C (NAAGX),20 years,$750.68,12/22/1986,11%,"$3,000",N,1.58%,1.58%
Wells Fargo Wisconsin Tax-Free Fund - Class A (WWTFX),20 years,$173.73,12/26/2002,10%,"$1,000",Y,0.7%,0.95%
AB Municipal Income Fund New York Portfolio Class C (ANYCX),20 years,$658.12,12/29/1986,22%,"$2,500",N,1.5%,1.55%
ALPS/Smith Short Duration Bond Fund Class I (SMDSX),20 years,$522.48,06/29/2018,457%,"$100,000",N,0.49%,0.7%
BNY Mellon AMT-Free Municipal Bond Fund - Class C (DMUCX),20 years,"$1,370.03",05/06/1994,5.65%,"$2,500",N,1.45%,1.7%
Boyd Watterson Limited Duration Enhanced Income Fund Class I (BWDIX),20 years,$363.35,07/29/2016,73%,"$100,000",N,0.6%,0.63%
Dupree Mutual Fund Tennessee Tax-Free Income Fund (TNTIX),20 years,$85.44,12/15/1993,2.75%,"$2,500",N,0.71%,0.71%
Eaton Vance AMT-Free Municipal Income Fund Class C (ECMBX),20 years,$346.47,03/16/1978,58%,"$2,500",N,1.67%,1.67%
JPMorgan Short Duration Core Plus Fund Class I (JSDSX),20 years,"$10,024.90",03/01/2013,129%,"$1,000,000",N,0.39%,0.61%
Vanguard Short-Term Corporate Bond Index Fund Admiral Shares (VSCSX),20 years,"$50,666.73",11/19/2009,42%,"$2,500",N,0.07%,0.07%
Wilmington Municipal Bond Fund Class Institutional (WTAIX),20 years,$355.94,11/01/1993,24%,"$10,000",N,0.49%,0.6%
Calvert Short Duration Income Fund Class I (CDSIX),20 years,"$2,420.14",01/31/2002,91%,"$250,000",N,0.51%,0.52%
Eaton Vance Massachusetts Municipal Income Fund Class A (ETMAX),20 years,$203.06,06/17/1993,15%,"$2,500",Y,0.71%,0.71%
Nuveen Ohio Municipal Bond Fund Class C (FAFMX),20 years,$755.33,06/27/1985,6%,"$3,000",N,1.57%,1.57%
American Funds Tax-Exempt Fund of California® Class C (TECCX),20 years,"$3,237.61",10/28/1986,17%,"$1,000",N,1.32%,1.32%
American Funds Tax-Exempt Fund of New York® Class C (NYACX),20 years,$290.91,11/01/2010,24%,"$1,000",N,1.37%,1.42%
Columbia Limited Duration Credit Fund Class A (ALDAX),20 years,"$1,129.84",06/19/2003,98%,"$2,500",Y,0.77%,0.83%
Eaton Vance Connecticut Municipal Income Fund Class A (ETCTX),20 years,$82.26,04/19/1994,19%,"$2,500",Y,0.72%,0.72%
Hotchkis & Wiley High Yield Fund Class C (HWHCX),20 years,"$1,072.08",03/31/2009,82%,"$2,500",N,1.66%,1.71%
Johnson Municipal Income Fund (JMUNX),20 years,$268.47,05/16/1994,5.98%,"$2,500",N,0.65%,0.65%
JPMorgan Mortgage Backed Securities Fund Class C (OBBCX),20 years,"$5,209.31",08/18/2000,93%,"$1,000",N,1.15%,1.37%
Nuveen Virginia Municipal Bond Fund Class C (FVCCX),20 years,$687.14,03/27/1986,6%,"$3,000",N,1.57%,1.57%
T. Rowe Price Emerging Markets Local Currency Bond Fund (PRELX),20 years,$463.29,05/26/2011,76.1%,"$2,500",N,0.82%,0.82%
AB Limited Duration High Income Portfolio Class C (ALHCX),20 years,$367.37,12/07/2011,60%,"$2,500",N,1.7%,1.79%
AB Municipal Income Fund II Virginia Portfolio Class C (AVACX),20 years,$241.96,04/29/1994,9%,"$2,500",N,1.55%,1.64%
DDJ Opportunistic High Yield Fund Institutional Class (DDJIX),20 years,$254.38,07/16/2015,66%,"$5,000,000",N,0.79%,1.24%
DoubleLine Total Return Bond Fund Class I (DBLTX),20 years,"$50,058.47",04/06/2010,91%,"$100,000",N,0.5%,0.5%
Guggenheim Municipal Income Fund Class C (GIJCX),20 years,$76.14,04/28/2004,58%,"$2,500",N,1.71%,2.12%
Nuveen Missouri Municipal Bond Fund Class C (FAFPX),20 years,$757.85,08/03/1987,5%,"$3,000",N,1.56%,1.56%
BlackRock GNMA Portfolio Institutional Shares (BGNIX),20 years,$552.55,05/18/1998,1.38%,"$2,000,000",N,0.48%,0.65%
Goldman Sachs Long Short Credit Strategies Fund Class A (GSAUX),20 years,$135.47,06/15/2009,112%,"$1,000",Y,1.46%,1.74%
Invesco Quality Income Fund Class A (VKMGX),20 years,$932.81,05/31/1984,979%,"$1,000",Y,0.85%,0.85%
Madison Tax-Free National Fund Class Y (GTFHX),20 years,$22.29,12/30/1982,26%,"$2,500",N,0.75%,0.75%
Nuveen Minnesota Intermediate Municipal Bond Fund Class A (FAMAX),20 years,$451.25,02/25/1994,6%,"$3,000",Y,0.79%,0.79%
Parametric TABS 1-to-10 Year Laddered Municipal Bond Fund Class I (EILBX),20 years,$93.76,05/04/2015,81%,"$2,500",N,0.4%,0.56%
Thornburg Intermediate Municipal Fund Class I (THMIX),20 years,"$1,023.08",07/22/1991,15.88%,"$2,500,000",N,0.53%,0.65%
Thornburg Limited Term Income Fund Class C (THICX),20 years,"$10,330.76",10/01/1992,53.84%,"$5,000",N,1%,1%
AB Municipal Income Fund California Portfolio Class C (ACACX),20 years,"$1,089.48",12/29/1986,23%,"$2,500",N,1.5%,1.52%
BNY Mellon Pennsylvania Fund Class C (PPACX),20 years,$118.58,07/30/1987,4.78%,"$2,500",N,1.77%,1.87%
Columbia New York Intermediate Municipal Bond Fund Class A (LNYAX),20 years,$214.64,12/31/1991,7%,"$2,500",Y,0.75%,0.9%
Franklin Mutual Quest Fund Class A (TEQIX),20 years,"$3,288.98",09/26/1980,52.07%,"$1,000",Y,1.06%,1.06%
Invesco Multi-Asset Income Fund Class C (PICFX),20 years,"$1,712.80",12/14/2011,76%,"$1,000",N,1.62%,1.72%
Neuberger Berman Emerging Markets Debt Fund Class C (NERCX),20 years,$223.39,09/27/2013,86%,"$2,500",N,1.91%,2.16%
Fidelity® Floating Rate High Income Fund (FFRHX),20 years,"$10,704.09",08/16/2000,44%,$0,N,0.68%,0.68%
Goldman Sachs U.S. Mortgages Fund Class A Shares (GSUAX),20 years,$342.55,11/03/2003,"1,027%","$1,000",Y,0.78%,0.81%
